City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,okhotsk,59.3833,143.3,-19.9,72,0,9.67,RU,1739063069
169,chonchi,-42.6128,-73.8092,12.29,83,100,0.17,CL,1739063071
170,batticaloa,7.7102,81.6924,26.06,62,61,5.62,LK,1739063072
171,salou,41.0766,1.1416,8.66,64,0,2.06,ES,1739063074
172,homestead,25.4687,-80.4776,23.34,83,0,2.06,US,1739063075
173,adrar,20.5022,-10.0711,12.96,23,0,4.93,MR,1739063076
174,urangan,-25.3,152.9,27.57,63,9,5.82,AU,1739063077
175,alaghsas,17.0187,8.0168,23.02,17,0,6.73,NE,1739063078
176,saint-pierre,-21.3393,55.4781,26.82,74,75,2.57,RE,1739063079
177,praya,14.9215,-23.5087,20.3,68,100,7.72,CV,1739063082
178,mejit,10.2753,170.8646,26.83,76,100,7.34,MH,1739063084
179,okondja,-0.6549,13.6753,23.9,75,100,0.43,GA,1739063085
180,praia da vitoria,38.7333,-27.0667,14.14,88,75,13.73,PT,1739063086
181,bel ombre,-4.6167,55.4167,26.91,83,40,2.57,SC,1739063088
182,guerrero negro,27.9769,-114.0611,15.01,83,12,6.89,MX,1739063089
183,prince rupert,54.3161,-130.3201,1.83,55,40,4.12,CA,1739063090
184,mogocha,53.7333,119.7667,-24.29,91,19,0.85,RU,1739063091
185,kargasok,59.0556,80.8572,-3.74,91,99,7.01,RU,1739063094
186,puerto baquerizo moreno,-0.9,-89.6,25.44,79,66,2.69,EC,1739062808
187,rudsar,37.1376,50.288,2.37,100,100,2.61,IR,1739063096
188,kajaani,64.2273,27.7285,-5.97,100,100,2.06,FI,1739063097
189,onega,63.9061,38.1404,-10.85,98,100,1.49,RU,1739063098
190,shasta lake,40.6804,-122.3708,12.4,50,1,2.12,US,1739063099
191,wainwright,52.839,-110.8572,-22.03,100,11,2.65,CA,1739063100
192,northam,51.0333,-4.2167,4.33,92,100,1.79,GB,1739063103
193,kapa'a,22.0752,-159.319,25.82,73,0,2.57,US,1739063104
194,togur,58.3631,82.8265,-6.04,93,100,5.64,RU,1739063105
195,alekseyevka,50.6309,38.6903,-8.3,90,6,3.74,RU,1739063106
196,kirakira,-10.4544,161.9205,29.43,74,77,3.43,SB,1739063107
197,kencong,-8.2833,113.3667,27.74,76,99,2.45,ID,1739063108
198,salahonda,2.1019,-78.7217,25.76,84,81,3.19,CO,1739063109
199,karratha,-20.7377,116.8463,33.65,55,28,5.02,AU,1739063111
200,qurayyat,31.3318,37.3428,3.1,75,0,0.0,SA,1739062933
201,chernyshevskiy,63.0128,112.4714,-23.2,95,100,3.19,RU,1739063113
202,port macquarie,-31.4333,152.9167,27.82,67,5,4.02,AU,1739063114
203,callao,-12.0667,-77.15,25.95,78,0,8.23,PE,1739063116
204,mossel bay,-34.1831,22.146,20.24,81,99,6.57,ZA,1739063117
205,brookings,44.3114,-96.7984,-16.05,85,0,2.06,US,1739063118
206,yuzhno-kurilsk,44.0306,145.8556,-2.64,91,100,15.84,RU,1739063119
207,pekanbaru,0.5333,101.45,23.18,100,40,0.0,ID,1739063107
208,stephenville,32.2207,-98.2023,12.07,54,0,6.17,US,1739063121
209,panama city beach,30.1766,-85.8055,20.07,97,100,2.06,US,1739063044
210,murzuq,25.9155,13.9184,10.72,44,100,4.74,LY,1739063124
211,ghanzi,-21.5667,21.7833,22.66,37,7,2.3,BW,1739063125
212,iskateley,67.6803,53.1512,-4.51,93,100,5.5,RU,1739063127
213,ancud,-41.8697,-73.8203,12.11,78,92,1.57,CL,1739063128
214,kerikeri,-35.2268,173.9474,23.26,54,97,4.18,NZ,1739063130
215,akrehamn,59.2667,5.1833,0.14,59,0,4.12,NO,1739063131
216,bethanie,-26.4833,17.15,24.81,41,23,2.56,NA,1739063133
217,sinabang,2.4803,96.3801,26.54,74,30,0.52,ID,1739063135
218,malango,-2.9627,119.9001,22.8,83,100,1.52,ID,1739063137
219,hamilton,39.1834,-84.5333,7.57,91,100,4.92,US,1739062582
220,fort st. john,56.2499,-120.8529,-16.06,85,75,4.63,CA,1739063140
221,bredasdorp,-34.5322,20.0403,18.08,61,84,3.59,ZA,1739063141
222,hasaki,35.7333,140.8333,6.14,39,0,6.41,JP,1739063142
223,batyrevo,55.0675,47.6111,-10.78,99,87,1.33,RU,1739063144
224,hachinohe,40.5,141.5,2.01,57,45,7.23,JP,1739063145
225,gokwe,-18.2048,28.9349,18.06,84,100,0.42,ZW,1739063147
226,vilyuchinsk,52.9306,158.4028,0.15,68,100,3.1,RU,1739063148
227,kale,50.9581,1.8521,1.87,90,100,6.7,FR,1739063149
228,nizhneudinsk,54.9076,99.0276,-13.26,88,100,1.78,RU,1739063150
229,gamay,12.3854,125.2979,24.76,95,100,4.42,PH,1739063151
